id,pickup,delivery,plat,plon,dlat,dlon,P geom_3857,D geom_3857
1,NJ 07652,NY 14221,40.9472994,-074.0701694,42.9844813,-078.7227613,"-8245453.540579514, 5004571.442283482","-8763377.701756423, 5309610.0407896135"
2,TX 78758,CA 95841,30.3879866,-097.7068484,38.6603703,-121.3473936,"-10876676.610903576, 3553520.031357178","-13508330.064642945, 4673138.63734828"
3,FL 32539,LA 70460,30.7789986,-086.4771694,30.2979574,-089.8406884,"-9626594.462851658, 3604081.0419907467","-10001019.685205162, 3541907.273467306"
4,MA 02090,LA 70125,42.2196452,-071.2167679,29.9520724,-090.1033099,"-7927814.33857075, 5193938.225732688","-10030254.576856526, 3497390.683849719"
5,VA 23320,GA 30909,36.7622883,-076.2116495,33.4704807,-082.0830452,"-8483842.014855443, 4406024.434164887","-9137442.794425258, 3957920.2135035438"
6,NY 11548,MD 21704,40.8128675,-073.6274050,39.3548835,-077.3759023,"-8196165.233030124, 4984778.723138533","-8613446.043706086, 4772633.8282421725"
7,NY 10994,MD 21237,41.0980715,-073.9726491,39.3415368,-076.4952701,"-8234597.630441505, 5026817.967334878","-8515414.515625924, 4770712.537125635"
8,UT 84401,NV 89156,41.2162046,-112.0416900,36.1634217,-114.9881875,"-12472423.878417812, 5044284.2872514725","-12800426.479741463, 4323131.307971324"
9,WA 98056,IN 47129,47.5125270,-122.1902485,38.3131304,-085.7686002,"-13602156.242923561, 6026136.485682502","-9547716.90031586, 4623755.5655307425"
10,NE 69361,IN 47201,41.9228378,-103.6229037,39.1588734,-085.9931989,"-11535248.874404423, 5149427.919520476","-9572719.113232693, 4744454.441300699"
11,CA 95043,AZ 86438,36.5257759,-120.9517230,34.5489252,-113.8054215,"-13464284.214929076, 4373210.596315676","-12668761.570893867, 4102749.590950539"
12,AZ 85251,VA 24073,33.4935134,-111.9192394,37.1347360,-080.4231577,"-12458792.73997848, 3960994.3219736065","-8952664.96315114, 4457903.925046161"
13,MO 65785,VA 22973,37.7084751,-093.8250539,38.3358953,-078.4786849,"-10444557.223799447, 4538324.584152244","-8736207.241193768, 4626985.828287347"
14,CA 91790,CO 80924,34.0669637,-117.9370069,38.9677114,-104.7212191,"-13128687.553790791, 4037797.1630260726","-11657512.785462834, 4717047.562430711"
15,CA 92120,AL 36856,32.7946739,-117.0711721,32.2744931,-084.9978280,"-13032303.264743695, 3868081.963173806","-9461914.93149425, 3799396.29066496"
16,CA 95540,NV 89141,40.5787271,-124.1368704,35.9884103,-115.2070559,"-13818853.201598596, 4950401.186673222","-12824790.798580203, 4299026.764358549"
17,MT 59829,TX 77355,45.7754351,-114.2961006,30.1562571,-095.7492600,"-12723383.71844877, 5744435.277702056","-10658758.867032759, 3523651.09105543"
18,OH 44646,TX 75009,40.8143808,-081.4971817,33.3388989,-096.7529773,"-9072224.767930893, 4985001.306328047","-10770492.165769156, 3940374.0038445573"
19,NJ 08902,TN 37086,40.4391587,-074.4843978,36.0222366,-086.5593844,"-8291565.235139626, 4929966.359759614","-9635746.594787227, 4303681.525448597"
20,CA 92806,CA 95709,33.8379605,-117.8704945,38.7501320,-120.6754121,"-13121283.427291354, 4007064.777625958","-13433525.426240444, 4685943.062644796"
21,CA 91345,CA 95993,34.2658786,-118.4567483,39.0824967,-121.6801142,"-13186544.901782975, 4064559.1441757386","-13545368.352411376, 4733495.415487348"
22,CO 81657,TX 78045,39.6759926,-106.3082994,27.8338145,-099.6814241,"-11834185.75630687, 4818969.514505057","-11096485.372360349, 3228037.7106789853"
