id,pickup,delivery,plat,plon,dlat,dlon,P geom_3857,D geom_3857
1,NJ 07652,NY 14221,40.9472994,-074.0701694,42.9844813,-078.7227613,"-8245453.540579514, 5004571.442283482","-8763377.701756423, 5309610.0407896135"
2,TX 78758,CA 95841,30.3879866,-097.7068484,38.6603703,-121.3473936,"-10876676.610903576, 3553520.031357178","-13508330.064642945, 4673138.63734828"
3,FL 32539,LA 70460,30.7789986,-086.4771694,30.2979574,-089.8406884,"-9626594.462851658, 3604081.0419907467","-10001019.685205162, 3541907.273467306"
4,MA 02090,LA 70125,42.2196452,-071.2167679,29.9520724,-090.1033099,"-7927814.33857075, 5193938.225732688","-10030254.576856526, 3497390.683849719"
5,VA 23320,GA 30909,36.7622883,-076.2116495,33.4704807,-082.0830452,"-8483842.014855443, 4406024.434164887","-9137442.794425258, 3957920.2135035438"
6,NY 11548,MD 21704,40.8128675,-073.6274050,39.3548835,-077.3759023,"-8196165.233030124, 4984778.723138533","-8613446.043706086, 4772633.8282421725"
7,NY 10994,MD 21237,41.0980715,-073.9726491,39.3415368,-076.4952701,"-8234597.630441505, 5026817.967334878","-8515414.515625924, 4770712.537125635"
8,UT 84401,NV 89156,41.2162046,-112.0416900,36.1634217,-114.9881875,"-12472423.878417812, 5044284.2872514725","-12800426.479741463, 4323131.307971324"
9,WA 98056,IN 47129,47.5125270,-122.1902485,38.3131304,-085.7686002,"-13602156.242923561, 6026136.485682502","-9547716.90031586, 4623755.5655307425"
10,NE 69361,IN 47201,41.9228378,-103.6229037,39.1588734,-085.9931989,"-11535248.874404423, 5149427.919520476","-9572719.113232693, 4744454.441300699"
